epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,0.33713318757459665,0.3505988043296888,0.8939796538111144,0.8912179255511384
1,0.32346818581657505,0.34505279930685295,0.8970163984208928,0.8946512468377303
2,0.3209793170330847,0.359414326016269,0.8979843607652597,0.8870617997831587
3,0.3149032988201248,0.34895475060178366,0.9004327361068934,0.8891398626671485
4,0.3040075786931675,0.34459164936763015,0.9026343759489827,0.8908565233104445
5,0.3091180998861939,0.31564349638072053,0.9025964166413605,0.8969100108420672
6,0.30174654069609796,0.35027182692220443,0.904513361676283,0.8920310805926996
7,0.3007095619330852,0.32236318531408475,0.9045892802915275,0.8992591254065775
8,0.300998447838158,0.3244595125619042,0.9030898876404494,0.8973617636429346
9,0.2888078502576021,0.3074533823511504,0.9075121469784391,0.9052222623780267
10,0.296711365354374,0.31448319347607606,0.9062025508654722,0.8987170220455367
11,0.2971884791559117,0.30198292063839866,0.9052535681749165,0.9056740151788941
12,0.29817420987466586,0.30719229062168585,0.904665198906772,0.904680159016986
13,0.29045128194637565,0.3201475531035076,0.9079107197084725,0.8963679074810263
14,0.28878976895419645,0.3111517467896718,0.9086699058609171,0.9024213950126491
15,0.2830966164858659,0.3126126516696518,0.907815821439417,0.8997108782074449
16,0.2895931647751408,0.29582908829254223,0.9085370482842393,0.9002529815684858
17,0.2862720475176087,0.2981628888001332,0.9080815365927726,0.9055836646187206
18,0.27532005272308385,0.3012949314205288,0.9105299119344064,0.9029634983736899
19,0.2715269291349031,0.33168660307227704,0.91229501973884,0.8944705457173835
