epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,1.7818198438710386,1.400864659688052,0.4989771028405067,0.6162555228276878
0,1.8497825438871323,1.200203675732893,0.4684868990479188,0.6389911634756995
0,1.7871374740147765,1.0958413836583927,0.4891056787124203,0.6632634622334659
1,1.004360460649127,0.9084307367057469,0.6957561494078348,0.7221720274665703
2,0.8546770615231933,0.8349858021115981,0.7385742484057091,0.7368991687748464
3,0.761115721490198,0.7737638940873174,0.7641967810507136,0.7559631369714492
4,0.7057567621282872,0.6617023616684654,0.7807090798663833,0.7942717744850019
5,0.6553766318027255,0.7017891634406382,0.7970505617977528,0.7786411275749909
6,0.6202944888489195,0.6344429692953308,0.8068250835104768,0.8081857607517167
7,0.5911149989759314,0.5825956343226351,0.8148534770725782,0.8140585471629924
8,0.5718771740703762,0.5823012052071577,0.8230147282113575,0.8143295988435129
9,0.5395238679806584,0.5304335624496371,0.8304167931976921,0.8276111311890134
