epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,0.11929967973123586,0.10643644035508522,0.9712458244761616,0.9764185037947235
1,0.07935657400583614,0.0834044320804923,0.9816656544184634,0.9794000722804481
2,0.05803948993205762,0.07586368118181308,0.9869989371393866,0.9832851463679074
3,0.05274028988477087,0.06906086570082631,0.9878530215608867,0.9836465486086013
4,0.04864283129531102,0.04978222191075369,0.9891626176738536,0.9880737260571015
5,0.040904485526606575,0.05184095247777857,0.9916679319769207,0.9888868810986629
6,0.039910207607303586,0.05242069193964146,0.9915540540540541,0.9870798698951934
7,0.03524455553619615,0.041444066976536215,0.9926358943212876,0.9921395012649078
8,0.030722148173013407,0.04788740622310366,0.9933381415122988,0.989880737260571
9,0.02865740312706991,0.046298595864024294,0.9944010021257212,0.9902421395012649
10,0.029743130987643453,0.03336699130794173,0.99404038870331,0.9925912540657752
11,0.027477696063833365,0.03835216376962775,0.994704676586699,0.9923202023852548
12,0.027673299827706745,0.057151594201931895,0.9949134527786213,0.9874412721358873
13,0.024416384894261813,0.027664151072308334,0.9956346796234437,0.9942175641488977
14,0.02618566327626609,0.033626376410321776,0.9954259034315214,0.993314058547163
15,0.02736685781141187,0.034870682028526,0.994704676586699,0.9922298518250813
