epoch,train_loss,val_loss,train_accuracy,val_accuracy
0,0.26188438023368205,0.2698211684779969,0.9162997266929851,0.9135345139139862
1,0.25285848500930425,0.2917955485307154,0.9175144245368965,0.9078424286230574
2,0.2554126014332264,0.2700423728566983,0.9183305496507743,0.914618720636068
3,0.25247319222391734,0.2877018679837788,0.9175144245368965,0.9073003252620166
4,0.25074552460417854,0.2765759770580799,0.9193934102641967,0.9122696060715576
5,0.25172444287850293,0.27551816743017965,0.9194883085332524,0.9107336465486086
6,0.25588978043594485,0.2702022660846655,0.9190517764955968,0.9132634622334659
7,0.2477189969108666,0.2753840688551437,0.9215001518372304,0.9174195880014456
0,0.38368630116281,0.3724178621017864,0.9049119344063165,0.8961872063606794
1,0.3300309613735858,0.35201432702341523,0.9084231703613727,0.899349475966751
2,0.31618559160676685,0.33976277441992236,0.9103780747039174,0.9050415612576798
3,0.30928950918865505,0.3361044727222768,0.9129782872760401,0.9040477050957716
4,0.3072304200489544,0.3291127474364862,0.9121052232007288,0.9063064691001084
5,0.30592193792673567,0.32983564645741026,0.9131870634679623,0.9041380556559451
6,0.30496798931322633,0.3368221006727632,0.9144017613118737,0.9023310444524756
7,0.29987273772182993,0.31075345027136664,0.9136805344670513,0.9087459342247922
8,0.2980542509665134,0.32685587662837406,0.9141740054661402,0.9049512106975063
9,0.2983947458532322,0.3324273264821554,0.9137754327361068,0.901066136610047
10,0.2939328671098479,0.2956482510949146,0.9159960522320073,0.9157029273581496
11,0.29154666711449695,0.3216415239724121,0.9158821743091407,0.9076617275027106
12,0.29871950471927455,0.31823158681909475,0.9135476768903735,0.9065775207806288
13,0.29606522651597206,0.30443747854129427,0.9141360461585181,0.914257318395374
14,0.28508765710680517,0.31382522891367104,0.9176662617673854,0.9089266353451392
15,0.2908190454229785,0.30593960124977754,0.9151609474643182,0.9096494398265269
16,0.28577814313574035,0.3068319041863342,0.9177232007288187,0.9126310083122515
17,0.28501037343685487,0.3078234579866332,0.91876708168843,0.9106432959884351
18,0.2830651087055742,0.2998551894302313,0.9191466747646523,0.9102818937477413
19,0.2874768091302401,0.31607247522972914,0.9167552383844518,0.9081134803035779
